"Brewery_id","Brewery_Name","City","State","Beer_Name","Beer_ID","ABV","IBU","Style","Ounces"
1,"NorthGate Brewing ","Minneapolis","MN","Pumpion",2689,0.06,38,"Pumpkin Ale",16
1,"NorthGate Brewing ","Minneapolis","MN","Stronghold",2688,0.06,25,"American Porter",16
1,"NorthGate Brewing ","Minneapolis","MN","Parapet ESB",2687,0.056,47,"Extra Special / Strong Bitter (ESB)",16
1,"NorthGate Brewing ","Minneapolis","MN","Get Together",2692,0.045,50,"American IPA",16
1,"NorthGate Brewing ","Minneapolis","MN","Maggie's Leap",2691,0.049,26,"Milk / Sweet Stout",16
1,"NorthGate Brewing ","Minneapolis","MN","Wall's End",2690,0.048,19,"English Brown Ale",16
2,"Against the Grain Brewery","Louisville","KY","A Beer",2683,0.042,42,"American Pale Ale (APA)",16
2,"Against the Grain Brewery","Louisville","KY","Citra Ass Down",2686,0.08,68,"American Double / Imperial IPA",16
2,"Against the Grain Brewery","Louisville","KY","London Balling",2685,0.125,80,"English Barleywine",16
2,"Against the Grain Brewery","Louisville","KY","35 K",2684,0.077,25,"Milk / Sweet Stout",16
2,"Against the Grain Brewery","Louisville","KY","Bloody Show",2679,0.055,17,"American Pilsner",16
2,"Against the Grain Brewery","Louisville","KY","Rules are Rules",2682,0.05,25,"German Pilsener",16
2,"Against the Grain Brewery","Louisville","KY","Flesh Gourd'n",2681,0.066,21,"Pumpkin Ale",16
2,"Against the Grain Brewery","Louisville","KY","Sho'nuff",2680,0.04,13,"Belgian Pale Ale",16
2,"Against the Grain Brewery","Louisville","KY","Pile of Face",2675,0.06,65,"American IPA",16
2,"Against the Grain Brewery","Louisville","KY","The Brown Note",2674,0.05,20,"English Brown Ale",16
2,"Against the Grain Brewery","Louisville","KY","Rico Sauvin",2678,0.076,68,"American Double / Imperial IPA",16
2,"Against the Grain Brewery","Louisville","KY","Coq de la Marche",2677,0.051,38,"Saison / Farmhouse Ale",16
2,"Against the Grain Brewery","Louisville","KY","Kamen Knuddeln",2676,0.065,NA,"American Wild Ale",16
3,"Jack's Abby Craft Lagers","Framingham","MA","Excess IPL",2671,0.072,80,"American India Pale Lager",16
3,"Jack's Abby Craft Lagers","Framingham","MA","Leisure Time",2672,0.048,15,"American Pale Lager",12
3,"Jack's Abby Craft Lagers","Framingham","MA","Hoponius Union",2670,0.067,65,"American India Pale Lager",12
3,"Jack's Abby Craft Lagers","Framingham","MA","Calyptra",2669,0.049,45,"American India Pale Lager",12
3,"Jack's Abby Craft Lagers","Framingham","MA","House Lager",2673,0.052,18,"Keller Bier / Zwickel Bier",16
4,"Mike Hess Brewing Company","San Diego","CA","Jucundus",2666,0.06,24,"Wheat Ale",16
4,"Mike Hess Brewing Company","San Diego","CA","Solis",2667,0.075,85,"American IPA",16
4,"Mike Hess Brewing Company","San Diego","CA","Habitus",2664,0.08,100,"American Double / Imperial IPA",16
4,"Mike Hess Brewing Company","San Diego","CA","Claritas",2662,0.058,28,"Kölsch",16
4,"Mike Hess Brewing Company","San Diego","CA","Habitus (2014)",2668,0.08,100,"American Double / Imperial IPA",16
4,"Mike Hess Brewing Company","San Diego","CA","Grazias",2663,0.063,30,"Cream Ale",16
5,"Fort Point Beer Company","San Francisco","CA","Villager",2658,0.063,42,"American IPA",12
5,"Fort Point Beer Company","San Francisco","CA","Westfalia",2660,0.056,16,"American Amber / Red Ale",12
5,"Fort Point Beer Company","San Francisco","CA","KSA",2659,0.046,17,"Kölsch",12
5,"Fort Point Beer Company","San Francisco","CA","Park",2661,0.047,19,"American Pale Wheat Ale",12
6,"COAST Brewing Company","Charleston","SC","Rye Knot",2656,0.062,NA,"American Brown Ale",12
6,"COAST Brewing Company","Charleston","SC","Dead Arm",2655,0.06,NA,"American Pale Ale (APA)",12
6,"COAST Brewing Company","Charleston","SC","32°/50° Kölsch ",2654,0.048,NA,"Kölsch",16
6,"COAST Brewing Company","Charleston","SC","Blackbeard",2657,0.093,NA,"American Double / Imperial Stout",12
6,"COAST Brewing Company","Charleston","SC","Boy King",2652,0.097,NA,"American Double / Imperial IPA",16
6,"COAST Brewing Company","Charleston","SC","HopArt",2653,0.077,NA,"American IPA",16
7,"Great Divide Brewing Company","Denver","CO","Rumble",2647,0.071,NA,"American IPA",12
7,"Great Divide Brewing Company","Denver","CO","Lasso",2645,0.05,NA,"American IPA",12
7,"Great Divide Brewing Company","Denver","CO","Whitewater",2648,0.061,NA,"American Pale Wheat Ale",12
7,"Great Divide Brewing Company","Denver","CO","Yeti  Imperial Stout",2644,0.095,75,"Russian Imperial Stout",12
7,"Great Divide Brewing Company","Denver","CO","Orabelle",2646,0.083,NA,"Tripel",12
7,"Great Divide Brewing Company","Denver","CO","Titan IPA",2642,0.071,NA,"American IPA",12
7,"Great Divide Brewing Company","Denver","CO","Hibernation Ale",2649,0.087,NA,"Old Ale",12
7,"Great Divide Brewing Company","Denver","CO","Colette",2643,0.073,NA,"Saison / Farmhouse Ale",12
7,"Great Divide Brewing Company","Denver","CO","Denver Pale Ale (Artist Series No. 1)",2650,0.05,NA,"American Pale Ale (APA)",12
8,"Tapistry Brewing","Bridgman","MI","Mr. Orange",2447,0.057,NA,"Witbier",16
8,"Tapistry Brewing","Bridgman","MI","Reactor",2448,0.07,NA,"American IPA",16
8,"Tapistry Brewing","Bridgman","MI","Peck's Porter",2640,0.065,35,"American Porter",16
9,"Big Lake Brewing","Holland","MI","Ryecoe",2469,0.062,NA,"American IPA",16
9,"Big Lake Brewing","Holland","MI","Dark Star",2639,0.08,54,"American Stout",16
10,"The Mitten Brewing Company","Grand Rapids","MI","G. B. Russo’s Italian Pistachio Pale Ale",2638,0.052,NA,"American Pale Ale (APA)",16
11,"Brewery Vivant","Grand Rapids","MI","Undertaker (2014)",1976,0.067,NA,"Belgian Dark Ale",16
11,"Brewery Vivant","Grand Rapids","MI","Wizard Burial Ground",2137,0.099,NA,"Quadrupel (Quad)",16
11,"Brewery Vivant","Grand Rapids","MI","Smoky Wheat",2101,0.051,NA,"Rauchbier",16
11,"Brewery Vivant","Grand Rapids","MI","Pumpkin Tart",1997,0.07,NA,"Fruit / Vegetable Beer",16
11,"Brewery Vivant","Grand Rapids","MI","Undertaker",1977,0.067,NA,"Belgian Dark Ale",16
11,"Brewery Vivant","Grand Rapids","MI","Fat Paczki",2382,NA,NA,"Belgian Dark Ale",16
11,"Brewery Vivant","Grand Rapids","MI","Coq D'Or",1974,0.05,NA,"Belgian Pale Ale",16
11,"Brewery Vivant","Grand Rapids","MI","Pothole Stout",1949,0.063,NA,"American Stout",16
11,"Brewery Vivant","Grand Rapids","MI","BRIPA",2092,0.062,NA,"Belgian IPA",16
